No.;Time;Source;Destination;Protocol;Length;Info;;TIME 1;TIME 2;DELAY ;;DELAY 1;DELAY 2;JITTER
60;0,238162;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,238162;0,238468;0,000306;;-0,003009;0,003315;0,006324
61;0,238468;192.168.27.81;202.67.42.206;UDP;84;63764  >  443 Len=42;;0,238468;0,241783;0,003315;;0,002947;0,000368;-0,002579
62;0,241783;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,241783;0,242151;0,000368;;-0,015838;0,016206;0,032044
63;0,242151;192.168.27.81;202.67.42.206;UDP;84;63764  >  443 Len=42;;0,242151;0,258357;0,016206;;0,01584;0,000366;-0,015474
64;0,258357;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,258357;0,258723;0,000366;;-0,018047;0,018413;0,03646
65;0,258723;192.168.27.81;202.67.42.206;UDP;86;63764  >  443 Len=44;;0,258723;0,277136;0,018413;;0,018141;0,000272;-0,017869
66;0,277136;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,277136;0,277408;0,000272;;-0,002538;0,00281;0,005348
67;0,277408;192.168.27.81;202.67.42.206;UDP;86;63764  >  443 Len=44;;0,277408;0,280218;0,00281;;0,002667;0,000143;-0,002524
68;0,280218;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,280218;0,280361;0,000143;;-0,006579;0,006722;0,013301
69;0,280361;192.168.27.81;202.67.42.206;UDP;86;63764  >  443 Len=44;;0,280361;0,287083;0,006722;;0,00652;0,000202;-0,006318
70;0,287083;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,287083;0,287285;0,000202;;-0,018803;0,019005;0,037808
71;0,287285;192.168.27.81;202.67.42.206;UDP;88;63764  >  443 Len=46;;0,287285;0,30629;0,019005;;0,002886;0,016119;0,013233
